yearsPlayed,age,G_all,weight,G_dh,birthCountry - Japan,height,birthCountry - Cuba,birthCountry - D.R.,birthCountry - Venezuela,birthCountry - Colombia,birthCountry - Jamaica,birthCountry - Honduras,birthCountry - France,birthCountry - V.I.,G_p,birthCountry - USA,NumPos,G_cf,G_rf,G_ss,G_2b,G_3b,G_c,G_lf
0.0,21.0,150.0,150.0,0.0,0,71.0,0,0,1,0,0,0,0,0,0.0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12.0,33.0,95.0,170.0,1.0,0,70.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
12.0,33.0,40.0,205.0,0.0,0,75.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
7.0,27.0,69.0,215.0,0.0,0,76.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,27.0,116.0,200.0,1.0,0,76.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
7.0,29.0,125.0,165.0,1.0,0,73.0,0,0,0,0,0,0,0,0,0.0,1,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
5.0,29.0,18.0,200.0,0.0,0,75.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,25.0,47.0,172.0,0.0,0,72.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,39.0,46.0,215.0,1.0,0,76.0,0,0,0,0,0,0,0,0,0.0,1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
5.0,29.0,122.0,180.0,1.0,0,69.0,0,0,1,0,0,0,0,0,0.0,0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
18.0,41.0,35.0,195.0,0.0,0,73.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,34.0,53.0,190.0,0.0,0,73.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,26.0,163.0,205.0,1.0,0,75.0,0,0,0,0,0,0,0,0,0.0,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,29.0,108.0,175.0,0.0,0,75.0,0,0,0,0,0,0,0,0,0.0,1,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
8.0,33.0,51.0,200.0,0.0,0,75.0,0,0,0,0,0,0,0,0,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
